ID,Address,City,St,Price,TAREA,Style,RMA,TBD,FB,HB,E/S,Yr Built,DOM
C4254646,3412 UNDERWOOD PL NW,Calgary,S,"$920,000 ",254.554,2 Storey,11,5,2,1,Yes,1966,10
C4249298,4323 15 ST SW,Calgary,S,"$910,000 ",197.791,2 Storey,9,4,3,1,Yes,1969,10
C4255343,542 VARSITY ESTATES PL NW,Calgary,S,"$905,000 ",208.66,2 Storey,9,4,2,1,Yes,1976,4
C4253003,38 EDENSTONE VW NW,Calgary,S,"$900,000 ",241.641,2 Storey,10,4,2,1,Yes,1988,3
C4249407,1211 HAMILTON ST NW,Calgary,S,"$900,000 ",205.223,2 Storey,9,5,3,1,Yes,1954,33
C4243259,270 MAHOGANY PL SE,Calgary,S,"$900,000 ",291.994,2 Storey,11,5,3,1,Yes,2015,42
C4248158,26 VARBOW PL NW,Calgary,S,"$895,000 ",214.42,2 Storey,8,5,3,1,Yes,1969,16
C4247398,38 WESTLAND MR SW,Calgary,S,"$892,000 ",254.74,2 Storey,9,4,3,1,Yes,2014,26
C4243584,14140 PARK ESTATES DR SE,Calgary,S,"$886,500 ",196.211,2 Sty Split,9,5,3,1,Yes,1974,62
C4254928,243 SILVER HILL WY NW,Calgary,S,"$880,000 ",183.948,2 Storey,9,4,3,0,Yes,1976,4
C4248603,143 CHRISTIE PARK VW SW,Calgary,S,"$870,000 ",195.189,Bungalow,7,4,3,1,Yes,1993,12
C4247467,435 AUBURN SHORES LD SE,Calgary,S,"$870,000 ",253.811,2 Storey,9,4,2,1,Yes,2016,20
C4237334,126 CHAPALA CL SE,Calgary,S,"$870,000 ",286.141,2 Storey,13,4,3,1,Yes,2004,68
C4235895,1409 1 AV NW,Calgary,S,"$870,000 ",128.578,2 Storey,8,3,2,1,No,2010,93
C4243393,728 26 AV NW,Calgary,S,"$865,000 ",165.646,2 Storey,8,4,3,1,Yes,1950,44
C4246063,109 8 AV NE,Calgary,S,"$860,000 ",164.81,2 & Half St,8,3,3,1,Yes,2008,29
C4221949,2005 PUMP HILL WY SW,Calgary,S,"$860,000 ",319.679,2 Sty Split,11,4,3,1,Yes,1976,172
C4245163,175 SIENNA HILLS DR SW,Calgary,S,"$853,000 ",234.859,2 Storey,9,4,3,1,Yes,1994,37
C4233875,132 SIENNA PARK DR SW,Calgary,S,"$850,000 ",241.083,2 Storey,9,5,3,1,Yes,2002,97
C4214343,96 TUSCANY ESTATES CL NW,Calgary,S,"$850,000 ",228.82,2 Storey,9,5,3,1,Yes,2007,231
C4237064,80 CHRISTIE KNOLL HT SW,Calgary,S,"$849,700 ",198.069,Bungalow,7,3,3,0,Yes,1989,86
C4254098,25 PATTERSON PA SW,Calgary,S,"$848,500 ",281.125,2 Storey,10,6,3,1,Yes,1996,6
C4253865,159 ARBOUR BUTTE RD NW,Calgary,S,"$845,000 ",268.676,2 Storey,8,3,2,1,Yes,2012,14
C4249440,1107 LAKE CHRISTINA PL SE,Calgary,S,"$845,000 ",172.893,Bungalow,8,4,3,0,Yes,1970,6
C4245779,38 DISCOVERY RIDGE WY SW,Calgary,S,"$845,000 ",242.477,2 Storey,10,4,3,1,Yes,2007,25
C4247940,31 ELGIN ESTATES GR SE,Calgary,S,"$840,000 ",272.67,2 Storey,10,4,3,1,Yes,2010,20
C4254607,96 STRATHLEA CO SW,Calgary,S,"$835,000 ",211.076,2 Storey,8,4,3,1,Yes,2000,9
C4242125,520 COACH GROVE RD SW,Calgary,S,"$834,600 ",257.899,2 Storey,12,5,3,1,Yes,1984,53
C4255714,113 YPRES GR SW,Calgary,S,"$830,000 ",207.545,2 Storey,8,4,3,1,Yes,2003,17
C4253245,137 HAMPTONS GD NW,Calgary,S,"$830,000 ",163.974,Bungalow,7,3,2,1,Yes,1998,7
C4229537,71 EVANSRIDGE VW NW,Calgary,S,"$830,000 ",253.532,2 Storey,9,3,2,1,Yes,2012,89
C4254493,408 BRUNSWICK AV SW,Calgary,S,"$829,000 ",130.25,Bungalow,7,4,2,0,No,1953,8
C4248797,5627 LADBROOKE PL SW,Calgary,S,"$827,500 ",129.042,Bungalow,5,4,3,0,Yes,1967,19
C4241724,127 CHRISTIE PARK HL SW,Calgary,S,"$823,500 ",201.507,2 Storey,10,4,3,1,Yes,1989,58
C4255833,136 OAKMOUNT RD SW,Calgary,S,"$821,000 ",268.397,2 Storey,10,5,3,1,Yes,1979,13
C4255457,7 VARSITY RIDGE TC NW,Calgary,S,"$819,888 ",238.482,2 Storey,11,4,3,1,Yes,1989,12
C4253856,27 LAKE BONAVENTURE PL SE,Calgary,S,"$817,000 ",177.352,Bungalow,9,5,3,0,Yes,1977,20
C4238029,49 WALDEN PA SE,Calgary,S,"$810,000 ",236.252,2 Storey,9,4,3,1,Yes,2015,84
C4214773,147 VARSITY ESTATES TC NW,Calgary,S,"$810,000 ",190.451,Bungalow,9,5,5,0,Yes,1988,222
C4253282,84 ASPEN STONE WY SW,Calgary,S,"$806,800 ",252.975,2 Storey,9,5,3,1,Yes,2007,15
