MLS®#,Community,Address,St,List Price,Sold Price,Tot Flr Area AG Metres,Style,Rooms Above Grade,Beds Total,Baths Full,Baths Half,Ensuite YN,Yr Built,Front Exposure,Frontage Metres,Num Finished FP,Basement Development,Enclosed Parking,Parking,Occupancy,Possession Notes,DOM,Condo Name,Construction Type,Flooring,Tot Flr Area A.G. (SF),Listing REALTOR® 1 Name
C4193928,Dover, 80  DOVERGLEN CR SE,S,"$269,900 ","$258,000 ",89.28,Bungalow,6,3,2,0,No,1980,West,12.1,,Fully Finished,,Double Carport,Vacant,Negotiable,21,,Wood Frame,"Carpet, Laminate Flooring",961,Zully A Merali
C4243756,Dover, 3226  DOVERTHORN RD SE,S,"$299,900 ","$255,000 ",95.411,Bungalow,5,3,1,0,No,1974,South,"1,706.00",1,Partly Finished,2,Double Garage Detached,Vacant,Negotiable,7,,Wood Frame,"Carpet, Linoleum","1,027",Andrew B Hanney
C4191471,Dover, 3039  31A ST SE,S,"$264,900 ","$255,000 ",104.051,Bungalow,6,4,1,0,No,1970,West,12.2,,Partly Finished,,Parking Pad Cement or Paved,Vacant,Negotiable,151,,Wood Frame,"Carpet, Ceramic Tile","1,120",Wally Lavoie
C4239226,Dover, 28  DOVERVIEW PL SE,S,"$279,900 ","$243,000 ",87.793,Bungalow,4,4,2,0,No,1972,North,12.18,,Fully Finished,,"Double Carport, Single Garage Detached, Tandem",Vacant,Immediate,24,,Wood Frame,"Carpet, See Remarks",945,Mel Star
C4202188,Dover, 52  DOVERTHORN PL SE,S,"$254,900 ","$242,000 ",89.187,Bungalow,7,3,1,0,No,1972,East,12.5,,Unfinished,1,"Single Garage Detached, Front Drive Access, Heated, Over Sized",Owner,negotiable,1,,Wood Frame,"Hardwood, Linoleum",960,Crystal Tost
C4256679,Dover, 178  DOVERCLIFFE CL SE,S,"$250,000 ","$240,000 ",92.253,Bungalow,5,4,2,0,No,1970,South,15.23,,Partly Finished,,"Parking Pad Gravel, Rear Drive Access",Vacant,immediate,0,,Wood Frame,"Carpet, Linoleum",993,Samantha Crick
C4243609,Dover, 288  DOVER RIDGE CL SE,S,"$248,000 ","$240,000 ",89.001,Bungalow,5,4,2,0,Yes,1972,East,12.2,,Fully Finished,,Rear Drive Access,Vacant,Negotiable,2,,Wood Frame,"Carpet, Hardwood, Non-Ceramic Tile",958,Timothy Green
C4258356,Dover, 3420  dover ridge DR SE,A,"$239,900 ",,66.24,Bi-Level,5,2,1,0,No,1972,South,11.5,,Partly Finished,2,Single Garage Detached,Tenant,none,9,,Wood Frame,"Hardwood, Linoleum",713,Daniel Farrar
C4253008,Dover, 3612  DOVER RIDGE DR SE,S,"$249,900 ","$238,000 ",58.901,Bi-Level,3,3,1,0,No,1972,South,12.2,,Fully Finished,2,Double Garage Detached,Owner,Immediate,27,,Wood Frame,"Ceramic Tile, Laminate Flooring",634,Sergey Korostensky
C4197679,Dover, 3808  DOVER RIDGE DR SE,S,"$220,000 ","$230,500 ",91.045,Bungalow,6,5,2,0,No,1971,East,12.49,,"Fully Finished, Suite",,Stall,Vacant,CourtOrder,15,,Wood Frame,Linoleum,980,Harry Morgan
C4235260,Dover, 4  DOVERTHORN PL SE,S,"$239,900 ","$229,000 ",58.064,Bi-Level,3,3,1,0,No,1972,West,12.5,,Fully Finished,,No Assigned Parking,Vacant,Negotiable,25,,Wood Frame,"Carpet, Hardwood, Linoleum",625,Teri-Ann Begin
C4228589,Dover, 291  DOVER RIDGE CL SE,S,"$219,000 ","$206,500 ",83.984,Bi-Level,4,3,1,0,No,1972,West,12.49,,Fully Finished,,Parking Pad Cement or Paved,Vacant,Negotiable,47,,Wood Frame,"Carpet, Linoleum",904,Michael Angelo Enciso
